"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"BarentsEchinoderms2015_St1","Copper","2015-08-01","Biota, Aquatic","Hippasteria phrygiana","",5.51,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-HippasteriaPhrygiana","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St1","Copper","2015-08-01","Biota, Aquatic","Urasterias lincki","",4,"Standard Deviation",4.7,3.3,"mg/kg (dry)",5,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-UrasteriasLincki","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St2","Copper","2015-08-01","Biota, Aquatic","1","",14.99,"Standard Deviation",18.2,11.78,"mg/kg (dry)",3,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St2-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St3","Copper","2015-08-01","Biota, Aquatic","1","",3.5,"Standard Deviation",3.68,3.32,"mg/kg (dry)",4,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St3-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St5","Copper","2015-08-01","Biota, Aquatic","1","",23.08,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St5-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St6","Copper","2015-08-01","Biota, Aquatic","1","",3.3,"Standard Deviation",4.38,2.22,"mg/kg (dry)",3,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St6-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St7","Copper","2015-08-01","Biota, Aquatic","Gorgonocephalus lamarckii","",2.15,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-GorgonocephalusLamarckii","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St7","Copper","2015-08-01","Biota, Aquatic","Ophiopleura borealis","",5.33,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiopleuraBorealis","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St7","Copper","2015-08-01","Biota, Aquatic","Ophiura sarsii","",5.29,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiuraSarsii","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
"BarentsEchinoderms2015_St7","Copper","2015-08-01","Biota, Aquatic","Pontaster tenuispinus","",9.05,"Not Relevant",,,"mg/kg (dry)",1,0.43,"mg/kg (dry)",1.41,"mg/kg (dry)","S01_TrawlSampling_BarentsEch","E01_Microwaveassist_BarentsEch","E01_Microwaveassist_BarentsEch","A01_InductivelyCoup_BarentsEch","2024IglikowskaTraceMetalsIn","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-PontasterTenuispinus","BarentsEchinoderms2015","Biota","Stressor","Concentration",,"Barents Sea echinoderm collection","2015-08-01","2015-09-30",,"Not relevant",,"Institute of Marine Research, Bergen","SAW","2025-12-17","Echinoderms collected during summer cruise of R/V Johan Hjort at depths ranging from 74 to 309 m using bottom trawl dragged on the sea bottom for 15 min. 84 specimens analyzed representing 17 species and four echinoderm classes."
