"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"BarentsEchinoderms2015_St1","Station 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Hippasteria phrygiana","BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-HippasteriaPhrygiana"
"BarentsEchinoderms2015_St1","Station 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Urasterias lincki","BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-UrasteriasLincki"
"BarentsEchinoderms2015_St2","Station 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","1","BarentsEchinoderms2015_St2-Copper-BiotaAquatic-2015-08-01-R-1"
"BarentsEchinoderms2015_St3","Station 3","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","1","BarentsEchinoderms2015_St3-Copper-BiotaAquatic-2015-08-01-R-1"
"BarentsEchinoderms2015_St5","Station 5","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","1","BarentsEchinoderms2015_St5-Copper-BiotaAquatic-2015-08-01-R-1"
"BarentsEchinoderms2015_St6","Station 6","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","1","BarentsEchinoderms2015_St6-Copper-BiotaAquatic-2015-08-01-R-1"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Gorgonocephalus lamarckii","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-GorgonocephalusLamarckii"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Ophiopleura borealis","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiopleuraBorealis"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Ophiura sarsii","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiuraSarsii"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Pontaster tenuispinus","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-PontasterTenuispinus"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Pteraster obscurus","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-PterasterObscurus"
"BarentsEchinoderms2015_St7","Station 7","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-08-01","Heliometra glacialis","BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-HeliometraGlacialis"
