"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"BarentsEchinoderms2015_St1","Station 1","Ocean, sea, territorial waters","Water benthos","WGS 84",76.3,14,"Svalbard and Jan Mayen","Barents Sea",-114,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St2","Station 2","Ocean, sea, territorial waters","Water benthos","WGS 84",76.8,15,"Svalbard and Jan Mayen","Barents Sea",-74,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St3","Station 3","Ocean, sea, territorial waters","Water benthos","WGS 84",77.2,17,"Svalbard and Jan Mayen","Barents Sea",-254,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St4","Station 4","Ocean, sea, territorial waters","Water benthos","WGS 84",78,22,"Svalbard and Jan Mayen","Barents Sea",-308,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St5","Station 5","Ocean, sea, territorial waters","Water benthos","WGS 84",77,22,"Svalbard and Jan Mayen","Barents Sea",-131,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St6","Station 6","Ocean, sea, territorial waters","Water benthos","WGS 84",79.5,27,"Svalbard and Jan Mayen","Barents Sea",-306,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St7","Station 7","Ocean, sea, territorial waters","Water benthos","WGS 84",79.5,32,"Svalbard and Jan Mayen","Barents Sea",-197,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St8","Station 8","Ocean, sea, territorial waters","Water benthos","WGS 84",78.5,30,"Svalbard and Jan Mayen","Barents Sea",-252,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St9","Station 9","Ocean, sea, territorial waters","Water benthos","WGS 84",78.5,36,"Svalbard and Jan Mayen","Barents Sea",-226,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St10","Station 10","Ocean, sea, territorial waters","Water benthos","WGS 84",78,27,"Svalbard and Jan Mayen","Barents Sea",-309,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St11","Station 11","Ocean, sea, territorial waters","Water benthos","WGS 84",78.2,40,"Svalbard and Jan Mayen","Barents Sea",-123,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St12","Station 12","Ocean, sea, territorial waters","Water benthos","WGS 84",77.5,25,"Svalbard and Jan Mayen","Barents Sea",-211,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St13","Station 13","Ocean, sea, territorial waters","Water benthos","WGS 84",77.8,32,"Svalbard and Jan Mayen","Barents Sea",-181,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St14","Station 14","Ocean, sea, territorial waters","Water benthos","WGS 84",76.8,26,"Svalbard and Jan Mayen","Barents Sea",-289,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St15","Station 15","Ocean, sea, territorial waters","Water benthos","WGS 84",77.3,38,"Svalbard and Jan Mayen","Barents Sea",-181,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St16","Station 16","Ocean, sea, territorial waters","Water benthos","WGS 84",76.8,36,"Svalbard and Jan Mayen","Barents Sea",-244,"m","SAW","2025-12-17","Read from map."
"BarentsEchinoderms2015_St17","Station 17","Ocean, sea, territorial waters","Water benthos","WGS 84",76.2,26,"Svalbard and Jan Mayen","Barents Sea",-267,"m","SAW","2025-12-17","Read from map."
