"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"WalrusHeavyMetals2019-2021_BigOransky-Copper-BiotaAquatic-2020-08-01-R-1","WalrusHeavyMetals2019-2021_BigOransky","Copper","Biota","Biota, Aquatic","Internal","2020-08-01","1","Mammals","Odobenus rosmarus rosmarus","Skin","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Harley-Copper-BiotaAquatic-2020-08-01-R-1","WalrusHeavyMetals2019-2021_Harley","Copper","Biota","Biota, Aquatic","Internal","2020-08-01","1","Mammals","Odobenus rosmarus rosmarus","Skin","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Matilda-Copper-BiotaAquatic-2020-08-01-R-1","WalrusHeavyMetals2019-2021_Matilda","Copper","Biota","Biota, Aquatic","Internal","2020-08-01","1","Mammals","Odobenus rosmarus rosmarus","Skin","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultKidney","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","Adult kidney","Mammals","Odobenus rosmarus divergens","Heart","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLiver","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","adult liver","Mammals","Odobenus rosmarus divergens","Kidney","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLung","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","adult lung","Mammals","Odobenus rosmarus divergens","Liver","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultMuscle","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","adult muscle","Mammals","Odobenus rosmarus divergens","Lung","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultSkin","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","adult skin","Mammals","Odobenus rosmarus divergens","Muscle","Adult","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoHeart","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","embryo heart","Mammals","Odobenus rosmarus divergens","Skin","Embryo","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoKidney","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","embryo kidney","Mammals","Odobenus rosmarus divergens","Heart","Embryo","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLiver","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","embryo liver","Mammals","Odobenus rosmarus divergens","Kidney","Embryo","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLung","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","embryo lung","Mammals","Odobenus rosmarus divergens","Lung","Embryo","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoSkin","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","embryo skin","Mammals","Odobenus rosmarus divergens","Skin","Embryo","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveHeart","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","juve heart","Mammals","Odobenus rosmarus divergens","Heart","Juvenile","Mixed","Study reports individual genders, but Ns very small so I pooled them"
"WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveKidney","WalrusHeavyMetals2019-2021_Lorino","Copper","Biota","Biota, Aquatic","Internal","2019-08-01","juve kidney","Mammals","Odobenus rosmarus divergens","Kidney","Juvenile","Mixed","Study reports individual genders, but Ns very small so I pooled them"
