"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RB1","Sample Medium/Matrix","Required","1 compartment: Biota (Biota, Aquatic)

23 biota samples. Species (2): Odobenus rosmarus rosmarus, Odobenus rosmarus divergens. Tissue types (6): Skin, Heart, Kidney, Liver, Lung, Muscle. Life stages (3): Adult, Embryo, Juvenile. Genders: Mixed

3 protocols:
Sampling Protocol - Biopsy: (Skin samples from O. r. rosmarus were collected using steel tips for arrows. Steel composition 12X18H10: 0.12% carbon (C), 18% chromium (Cr), 10% nickel (Ni), <0.8% titanium (Ti). Depth 1.5-2 cm, width 0.5 cm, weight about 5 g. Samples from O. r. divergens collected using medical scalpel. Skin samples about 2 cm depth and 2 cm width, weight about 15 g. Organ samples taken from any part, weight not less 15 g.)
Fractionation Protocol - Acid extractable: (Biomaterial samples were thawed at room temperature. Before analysis 1 to 5 g of sample was ashed in a muffle furnace at 450°C. The ash was dissolved in diluted nitric acid.)
Extraction Protocol - Acid digestion: (Biomaterial samples were thawed at room temperature. Before analysis 1 to 5 g of sample was ashed in a muffle furnace at 450°C. The ash was dissolved in diluted nitric acid.)","2","Species, tissue, age, gender well reported."
"RB2","Collection Method/Sample Type","Recommended","1 protocol:
Sampling Protocol - Biopsy: (Skin samples from O. r. rosmarus were collected using steel tips for arrows. Steel composition 12X18H10: 0.12% carbon (C), 18% chromium (Cr), 10% nickel (Ni), <0.8% titanium (Ti). Depth 1.5-2 cm, width 0.5 cm, weight about 5 g. Samples from O. r. divergens collected using medical scalpel. Skin samples about 2 cm depth and 2 cm width, weight about 15 g. Organ samples taken from any part, weight not less 15 g.)","1","Sample collection reported in detail. Opportunistic sampling."
"RB3","Sample Handling","Recommended","2 protocols:
Sampling Protocol - Biopsy: (Skin samples from O. r. rosmarus were collected using steel tips for arrows. Steel composition 12X18H10: 0.12% carbon (C), 18% chromium (Cr), 10% nickel (Ni), <0.8% titanium (Ti). Depth 1.5-2 cm, width 0.5 cm, weight about 5 g. Samples from O. r. divergens collected using medical scalpel. Skin samples about 2 cm depth and 2 cm width, weight about 15 g. Organ samples taken from any part, weight not less 15 g.)
Extraction Protocol - Acid digestion: (Biomaterial samples were thawed at room temperature. Before analysis 1 to 5 g of sample was ashed in a muffle furnace at 450°C. The ash was dissolved in diluted nitric acid.)","1","Some detail."
"RB4","Site Location","Required","9 sites. Countries: Russia. Areas (3): Barents Sea, Arctic Ocean, Bering Sea. Distinct features: Types: Bare land and lichen/moss, Subtypes: Other. Lowest coordinate precision: 0","1","Yes, on a map. Precision low but acceptable for acquiring samples from hunters."
"RB5","Date and Time","Required","2019-08-01 to 2021-08-01 (n=3, 731 days (to nearest day))","1","Yes."
"RB6","Analyte(s) Measured","Required","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Copper was determined in the flame mode of a Varian AA 140 atomic absorption spectrometer. Analysis according to GOST 26929-94 Preparation of samples. Mineralization for determination of toxic element content and MUK 4.1.991-00 Methodology for measuring the mass fraction of copper and zinc in food products and food raw materials by electrothermal atomic absorption spectrometry.)","1",""
"RB7","Limit of Detection and/or Limit of Quantification","Required","Relevant data not found","4","Not for copper."
"RB8","Accreditation/Quality Management System","Required","Relevant data not collected by app. Please complete manually.","4","Justification: No accreditation is mentioned."
"RB9","Method","Required","4 protocols:
Sampling Protocol - Biopsy: (Skin samples from O. r. rosmarus were collected using steel tips for arrows. Steel composition 12X18H10: 0.12% carbon (C), 18% chromium (Cr), 10% nickel (Ni), <0.8% titanium (Ti). Depth 1.5-2 cm, width 0.5 cm, weight about 5 g. Samples from O. r. divergens collected using medical scalpel. Skin samples about 2 cm depth and 2 cm width, weight about 15 g. Organ samples taken from any part, weight not less 15 g.)
Fractionation Protocol - Acid extractable: (Biomaterial samples were thawed at room temperature. Before analysis 1 to 5 g of sample was ashed in a muffle furnace at 450°C. The ash was dissolved in diluted nitric acid.)
Extraction Protocol - Acid digestion: (Biomaterial samples were thawed at room temperature. Before analysis 1 to 5 g of sample was ashed in a muffle furnace at 450°C. The ash was dissolved in diluted nitric acid.)
Analytical Protocol - Atomic absorption spectroscopy: (Copper was determined in the flame mode of a Varian AA 140 atomic absorption spectrometer. Analysis according to GOST 26929-94 Preparation of samples. Mineralization for determination of toxic element content and MUK 4.1.991-00 Methodology for measuring the mass fraction of copper and zinc in food products and food raw materials by electrothermal atomic absorption spectrometry.)","1",""
"RB10","Lab Blank Contamination","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Copper was determined in the flame mode of a Varian AA 140 atomic absorption spectrometer. Analysis according to GOST 26929-94 Preparation of samples. Mineralization for determination of toxic element content and MUK 4.1.991-00 Methodology for measuring the mass fraction of copper and zinc in food products and food raw materials by electrothermal atomic absorption spectrometry.)","4","Not mentioned."
"RB11","Recovery/Accuracy","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Copper was determined in the flame mode of a Varian AA 140 atomic absorption spectrometer. Analysis according to GOST 26929-94 Preparation of samples. Mineralization for determination of toxic element content and MUK 4.1.991-00 Methodology for measuring the mass fraction of copper and zinc in food products and food raw materials by electrothermal atomic absorption spectrometry.)","4","CRM used."
"RB12","Reproducibility/Precision","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Copper was determined in the flame mode of a Varian AA 140 atomic absorption spectrometer. Analysis according to GOST 26929-94 Preparation of samples. Mineralization for determination of toxic element content and MUK 4.1.991-00 Methodology for measuring the mass fraction of copper and zinc in food products and food raw materials by electrothermal atomic absorption spectrometry.)","4","Not mentioned."
"RB13","Field QC","Recommended","1 protocol:
Sampling Protocol - Biopsy: (Skin samples from O. r. rosmarus were collected using steel tips for arrows. Steel composition 12X18H10: 0.12% carbon (C), 18% chromium (Cr), 10% nickel (Ni), <0.8% titanium (Ti). Depth 1.5-2 cm, width 0.5 cm, weight about 5 g. Samples from O. r. divergens collected using medical scalpel. Skin samples about 2 cm depth and 2 cm width, weight about 15 g. Organ samples taken from any part, weight not less 15 g.)","4","Not mentioned."
"RB14","Calculations","Recommended","Uncertainty types: Standard Deviation, Not relevant","4","Not relevant."
"RB15","Significant Figures","Recommended","Measured parameter values reported to 1 to 5 significant figures","1","Not relevant."
"RB16","Outliers","Recommended","Relevant data not collected by app. Please complete manually.","1","Not relevant."
"RB17","Censored Data","Required","Relevant data not collected by app. Please complete manually.","1","Not relevant."
"RB18","Summary Statistics Procedures","Recommended","Uncertainty types: Standard Deviation, Not relevant","4","Not relevant."
"RB19","Supporting Data Quality","Recommended","Relevant data not collected by app. Please complete manually.","1","Not relevant."
