SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT
WalrusHeavyMetals2019-2021_BigOransky,Copper,01/08/2020,"Biota, Aquatic",1,,7.545,Standard Deviation,12.855,2.235,µg/g (wet),2,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_BigOransky-Copper-BiotaAquatic-2020-08-01-R-1,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Harley,Copper,01/08/2020,"Biota, Aquatic",1,,17.6,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Harley-Copper-BiotaAquatic-2020-08-01-R-1,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Matilda,Copper,01/08/2020,"Biota, Aquatic",1,,6.47,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Matilda-Copper-BiotaAquatic-2020-08-01-R-1,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",Adult kidney,,1.98,Standard Deviation,2.172,1.788,µg/g (wet),8,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultKidney,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",adult liver,,4.052,Standard Deviation,5.69,2.414,µg/g (wet),6,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLiver,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",adult lung,,10.524,Standard Deviation,15.339,5.709,µg/g (wet),7,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLung,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",adult muscle,,0.77,Standard Deviation,0.981,0.559,µg/g (wet),6,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultMuscle,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",adult skin,,0.851,Standard Deviation,1.102,0.6,µg/g (wet),7,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultSkin,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",embryo heart,,0.32,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoHeart,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
WalrusHeavyMetals2019-2021_Lorino,Copper,01/08/2019,"Biota, Aquatic",embryo kidney,,1.74,Not relevant,,,µg/g (wet),1,,,,,S01_Biopsy_WalrusHeav,E01_AcidDigestion_WalrusHeav,E01_AcidDigestion_WalrusHeav,A01_AtomicAbsorptio_WalrusHeav,2025KryukovaHeavyMetalsIn,WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoKidney,WalrusHeavyMetals2019-2021,Biota,Stressor,Concentration,,Heavy metals in tissues of Atlantic and Pacific walruses,01/09/2019,30/09/2021,,Not relevant,,"A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences",SAW,18/12/2025,Samples from O. r. divergens (n=29) collected in 2019 in the area of Lorino village (Chukotka) during the aboriginal hunt. Samples from O. r. rosmarus (n=27) collected August-September 2020 and 2021 from Oransky Islands and Franz Josef Archipelago.
