"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"WalrusHeavyMetals2019-2021_BigOransky","Big Oransky Islands","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","1","WalrusHeavyMetals2019-2021_BigOransky-Copper-BiotaAquatic-2020-08-01-R-1"
"WalrusHeavyMetals2019-2021_Harley","Harley Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","1","WalrusHeavyMetals2019-2021_Harley-Copper-BiotaAquatic-2020-08-01-R-1"
"WalrusHeavyMetals2019-2021_Matilda","Matilda Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","1","WalrusHeavyMetals2019-2021_Matilda-Copper-BiotaAquatic-2020-08-01-R-1"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","Adult kidney","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultKidney"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","adult liver","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLiver"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","adult lung","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultLung"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","adult muscle","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultMuscle"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","adult skin","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-AdultSkin"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","embryo heart","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoHeart"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","embryo kidney","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoKidney"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","embryo liver","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLiver"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","embryo lung","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoLung"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","embryo skin","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-EmbryoSkin"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve heart","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveHeart"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve kidney","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveKidney"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve liver","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveLiver"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve lung","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveLung"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve muscle","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveMuscle"
"WalrusHeavyMetals2019-2021_Lorino","Lorino village, Mechigmensky Gulf","Copper","Stressor","Biota","Biota, Aquatic","Internal","2019-08-01","juve skin","WalrusHeavyMetals2019-2021_Lorino-Copper-BiotaAquatic-2019-08-01-R-JuveSkin"
"WalrusHeavyMetals2019-2021_Nansen","Nansen Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","adult skin","WalrusHeavyMetals2019-2021_Nansen-Copper-BiotaAquatic-2020-08-01-R-AdultSkin"
"WalrusHeavyMetals2019-2021_Nansen","Nansen Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","juve skin","WalrusHeavyMetals2019-2021_Nansen-Copper-BiotaAquatic-2020-08-01-R-JuveSkin"
"WalrusHeavyMetals2019-2021_Northbrook","Northbrook Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2020-08-01","1","WalrusHeavyMetals2019-2021_Northbrook-Copper-BiotaAquatic-2020-08-01-R-1"
"WalrusHeavyMetals2019-2021_Northbrook","Northbrook Island, Franz-Josef Archipelago","Copper","Stressor","Biota","Biota, Aquatic","Internal","2021-08-01","1","WalrusHeavyMetals2019-2021_Northbrook-Copper-BiotaAquatic-2021-08-01-R-1"
