"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticCodMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic cod_muscle","Fish","Gadus morhua","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticCodLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic cod_liver","Fish","Gadus morhua","Liver","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticHaddockMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic haddock_muscle","Fish","Melanogrammus aeglefinus","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticHaddockLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic haddock_liver","Fish","Melanogrammus aeglefinus","Liver","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticHalibutMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic halibut_muscle","Fish","Hippoglossus hippoglossus","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AtlanticHalibutLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Atlantic halibut_liver","Fish","Hippoglossus hippoglossus","Liver","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-BlueMusselFlesh","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Blue mussel_flesh","Molluscs","Mytilus edulis","Total soft tissues","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-AmericanPlaiceMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","American plaice_muscle","Fish","Hippoglossoides platessoides","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Witch flounder_muscle","Fish","Glyptocephalus cynoglossus","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-WitchFlounderLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Witch flounder_liver","Fish","Glyptocephalus cynoglossus","Liver","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-StarryRayMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Starry ray_muscle","Fish","Amblyraja radiata","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-StarryRayLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Starry ray_liver","Fish","Amblyraja radiata","Liver","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-CommonDabMuscle","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Common dab_muscle","Fish","Limanda limanda","Muscle","Not reported","Not reported",
"RepparfjordHaddock2016-2017_Revsbotn-Copper-BiotaAquatic-2016-09-19-R-CommonDabLiver","RepparfjordHaddock2016-2017_Revsbotn","Copper","Biota","Biota, Aquatic","Internal","19/09/2016","Common dab_liver","Fish","Limanda limanda","Liver","Not reported","Not reported",
