"Name","Description","ID","Category"
"Ferskvann (elver): Volumprøvetaker (Tilbaketrukket)","Vannundersøkelse - Prøvetaking - Del 6: Veiledning i prøvetaking fra elver og bekker  (ISO 5667-6:2014). Tilbaketrukket. Erstattet av NS-EN ISO 5667-6:2016.","NS-ISO 5667-6:2014-1","Sampling"
"Ferskvann (innsjøer): Volumprøvetaker","Prøvetaking - Del 4: Veiledning i prøvetaking fra naturlige og kunstige innsjøer (ISO 5667-4:2016)","NS-ISO 5667-4:2016A","Sampling"
"Ferskvann (innsjøer): Volumprøvetaker (Tilbaketrukket)","Prøvetaking - Del 4: Veiledning i prøvetaking fra naturlige og kunstige innsjøer (ISO 5667-4:1987; Tilbaketrukket. Erstattet av ISO 5667-4:2016)","NS-ISO 5667-4A","Sampling"
"Ferskvann (elver): Volumprøvetaker (Tilbaketrukket)","Prøvetaking - Del 6: Veiledning i prøvetaking fra elver og bekker (ISO 5667-6: 2005; Tilbaketrukket. Erstattet av ISO 5667-6:2014)","NS-ISO 5667-6A","Sampling"
"Ferskvann (elver og bekker)","Prøvetaking — Del 6: Veiledning i prøvetaking fra elver og bekker (ISO 5667-6:2014)","NS-EN ISO 5667-6:2016","Sampling"
"ICP-MS (ISO 17294-2; Tilbaketrukket)","Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av 62 grunnstoffer (ISO 17294-2:2003). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2016","NS-EN ISO 17294-2","Analysis"
"AAS flamme (NS 4773)","Atomabsorpsjonsspektrometri i flamme - Spesielle retningslinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan, nikkel og sink.","NS 4773","Analysis"
"AAS grafittovn (NS 4781; Tilbaketrukket)","Metaller i vann, slam og sedimenter - Bestemmelse ved flammeløs atomabsorpsjonsspektrometri - Elektrotermisk atomisering i grafittovn - Spesielle retninglinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan og nikkel. Tilbaketrukket. Erstattet av NS-EN ISO 15586.","NS 4781","Analysis"
"ICP-AES (ISO 11885; Tilbaketrukket)","Bestemmelse av 33 grunnstoffer ved induktivt koblet plasma-atomemisjonsspektrometri (ISO 11885:1996). Tilbaketrukket. Erstattet av NS-EN ISO 11885:2009.","NS-EN ISO 11885","Analysis"
"Ukjent metode","Ukjent metode","UKJENT","Analysis"
"AAS grafittovn (ISO 15586)","Bestemmelse av sporelementer med atomabsorpsjonsspektrometri i grafittovn (ISO 15586:2003)","NS-EN ISO 15586","Analysis"
"ICP-OES (ISO 11885)","Bestemmelse av utvalgte elementer ved induktivt koblet plasma-optisk emisjonsspektrometrisk analyse (ISO 11885:2007)","NS-EN ISO 11885:2009","Analysis"
"ICP-MS (ISO 17294-2:2016; Tilbaketrukket)","Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av utvalgte elementer inkludert uranisotoper (ISO 17294-2:2016). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2023","NS-EN ISO 17294-2:2016","Analysis"
"ICP-MS (ISO 17294-2:2023)","Bruk av induktivt koblet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av utvalgte elementer inkludert uraniumisotoper (ISO 17294-2:2023, korrigert versjon 2024-02)","NS-EN ISO 17294-2:2023","Analysis"
